hostname;macro;value_macro
AO200_VTE_01;{$WAN1}|{$LAN1}|{$BW};2097152|2097152|2097152
AO200_VTE_02;{$WAN1}|{$LAN1}|{$BW};2097152|2097152|2097152
AO307_TTTC_BISCO_01;{$WAN1}|{$LAN1}|{$BW};61.90.128.194|192.168.87.252|5242880
AO307_TTTC_BISCO_02;{$WAN1}|{$LAN1}|{$BW};192.168.0.4|192.168.87.253|5242880
AO307_TTTC_GPPD_01;{$WAN1}|{$LAN1}|{$BW};61.90.128.202|192.168.68.241|20971520
AO307_TTTC_GPPD_02;{$WAN1}|{$LAN1}|{$BW};192.168.0.100|192.168.68.242|20971520
AO307_TTTC_HO_01;{$WAN1}|{$LAN1}|{$BW};61.90.135.22|192.168.201.241|20971520
AO307_TTTC_HO_02;{$WAN1}|{$LAN1}|{$BW};119.46.45.242|192.168.201.242|20971520
AO315_TTST_01;{$WAN1}|{$LAN1}|{$BW};180.222.145.142|10.200.250.12|5242880
AO315_TTST_02;{$WAN1}|{$LAN1}|{$BW};203.159.72.219|10.200.250.13|5242880
AO315_TTST_HD_01;{$WAN1}|{$LAN1}|{$BW};171.102.44.42|10.200.4.11|5242880
AO315_TTST_HD_02;{$WAN1}|{$LAN1}|{$BW};119.46.11.210|10.200.4.12|5242880
AO316_NETH_HO_01;{$WAN1}|{$WAN2}|{$LAN1}|{$BW};49.231.22.87|10.255.246.145|10.90.81.252|104857600
AO316_NETH_HO_02;{$WAN1}|{$LAN1}|{$BW};58.82.140.85|10.90.81.253|104857600
AO316_NETH_SNS_01;{$WAN1}|{$LAN1}|{$BW};49.231.161.244|172.24.219.252|5242880
AO317_TTMWM_BP_01;{$WAN1}|{$WAN2}|{$LAN1}|{$BW};119.46.138.166|10.255.242.245|10.157.65.2|10485760
AO317_TTMWM_BP_02;{$WAN1}|{$LAN1}|{$BW};119.46.13.42|10.157.65.3|10485760
AO317_TTMWM_GW_01;{$WAN1}|{$WAN2}|{$LAN1}|{$BW};119.46.138.254|10.255.243.1|10.157.66.2|10485760
AO317_TTMWM_GW_02;{$WAN1}|{$LAN1}|{$BW};119.46.13.62|10.157.66.3|10485760
AO317_TTMWM_SR_01;{$WAN1}|{$WAN2}|{$LAN1}|{$BW};119.46.138.46|10.255.242.233|10.154.65.2|10485760
AO317_TTMWM_SR_02;{$WAN1}|{$LAN1}|{$BW};119.46.13.40|10.154.65.3|10485760
